en	ha
Another airplane.##airplane	Wani jirgin saman.
7##person,person,person,person,person,baseball bat,baseball glove,baseball bat,person,baseball bat	7
What is in the sidewalk?##motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,person,motorcycle,person	Menene a gefen titi?
What time of the day is it?##person,person,frisbee,person,person,frisbee	Wani lokaci a rana ne wannan?
One.##traffic light,person,car,person,car,person,umbrella,car,car	ɗaya.
What are the horses grazing on?##horse,horse,horse,horse,horse,cow,horse,horse,horse,horse	Akan me dokunan suke kiwo?
Where was the photo taken?##bench,boat,umbrella	A ina akadauki hoton?
A parked bus.##car,person,person,car,car,car,car,handbag,car,person	Bas a aka ajiye.
Bright.##zebra	Tayi haske.
What is the vehicle in the photo?##train	Menene abun hawan cikin hoton?
How many people are pictured?##horse,horse,person,umbrella,umbrella,boat,suitcase	Muatane nawa ne a hoton?
What is on the children's backs?##umbrella,person,person,potted plant,potted plant,potted plant,kite,handbag,handbag,potted plant	Menene a bayan yaran?
No one at the time.##car,traffic light,traffic light,person,traffic light,person,bicycle,car,car,traffic light	Babu kowa dai a yanzu.
Who took off these shoes?##car,toilet,truck	Waye ya cire waɗannan takalman?
What is the red and white object in the road?##clock,truck,car	Wani ja da farin abu ne a hanyar?
The door is open.##surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard	ƙofar a bude take?
What way are the elephants facing?##elephant,elephant,elephant,elephant,elephant,elephant	Wani ɓangare giwayen suke kallo?
On a country road.##bus,cow,person,cow	A kan hanyar ƙasa.
Brown.##donut,donut,donut,knife,pizza,donut,donut,book,book,book	Ruwan ƙasa.
White.##chair,chair,keyboard,toilet,chair	Fari.
Three.##cup,clock,book,book,book,cell phone,book,fork,remote,book	Uku.
White.##person,bench,bottle	Fara.
When will the rider get off of the horse?##horse,car,person,person,person,person,chair,person,car,person	Yaushe mahayin zai sauka daga kan dokin?
Yellow.##person,person,person,person,person,person,umbrella,handbag,handbag,person	Rawaya.
Shirt.##person,person,person,pizza,pizza,cell phone,bottle,pizza,bottle,cup	Riga.
Where was the photo taken?##person,skis	A ina aka ɗauki hoton?
Where is the white sheet?##bed,laptop,cell phone,cell phone,book,handbag,book,suitcase,remote,book	Ina farin shimfiɗar?
Daytime.##person,person,skis,skis,skis,boat,person,boat,skis,boat	Da rana.
Red.##pizza	Ja.
What is the man holding?##person,tennis racket	Me mutumin ke riƙe dashi?
1##train,person,person,person,person,suitcase,person,person,suitcase,person	1
Brush.##giraffe,giraffe	Brush.
Where Is the dog's collar?##bed,dog	Ina abin wuyan karen?
She's using her legs and arms.##person,surfboard	Tana amfani da ƙafafunta da hannaye.
How many people in background?##bowl,bowl,bowl,bowl,bowl,wine glass,tv,wine glass,bottle,bottle	Nawane adadin mutanen dake ƙasa cikin hoton?
The woman on the phone.##person,person,person,chair,handbag,chair,cell phone,car	Matar dake amsa waya.
What two colors are on the clock?##clock,clock,bird	Wasu launi biyu ne a agogon?
60##train,person,traffic light,traffic light,person,stop sign,person	60
Daytime.##surfboard,person	Da rana.
What color is court?##person,person,tennis racket,sports ball,person,person,person,person,person,person	Menene launin filin wasa?
The man.##cat,person,couch,laptop	Kan mutumin.
Water.##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	Ruwa.
Who is standing next to the giraffe?##giraffe,giraffe,bird,bird	Wake zaune kusa da raƙumin dawa?
Yellow.##banana,orange,clock,bowl,orange,banana,orange,orange,orange,orange	Rawaya.
A newspaper.##cat,clock,book	Akan jarida.
What is the adult zebra doing?##zebra,zebra,person,zebra,person,frisbee,horse,person,car	Me babban jakin dawan yakeyi?
What kind of car is in the driveway?##car,car,traffic light,car,car,car,person,umbrella,car,car	Wacce irin mota ce a kan titin?
Plate.##dining table,bottle,sandwich,cup,bowl,bowl,dining table	Faranti.
Zero.##airplane,car,boat,person	Babu.
Where are the donuts?##person,spoon,cup,donut,chair,cup,person,donut,dining table,donut	Ina donuts ɗin suke?
During the day.##elephant,bench,person,person,person	Da rana.
How many people?##person,bench,skis,bicycle,book,clock,book	Mutane nawa?
Blue.##bus,person,truck,car,stop sign	Shuɗi.
What is pinned on the man's shirt?##person,person,cake,knife,dining table,cake,cake,frisbee,cake	Menene a maƙale a jikin rigar mutumin?
White.##laptop,person,person,book,person,chair,dining table,cell phone	Fari.
3##dog,bottle,bottle	3
Giraffe.##giraffe,giraffe	Raƙomin dawa
Mirror.##car,dog,car,fire hydrant,car,car,car	Madubi.
In the mirror.##car,dog,car,fire hydrant,car,car,car	A madubi.
Why is the woman holding an umbrella?##person,bench,umbrella,umbrella	Meyasa matar take riƙe da lema?
What is the pattern of the bedspread?##scissors,laptop,bed,apple	Menene tsarin shimfiɗar gadon?
One.##person,car,chair,wine glass,chair	Ɗaya.
Where is the blue blanket?##bench,person,person,person,person,handbag,backpack	Ina shuɗin mayafin rufar yake?
People.##person,person,person,person,frisbee,person,person,person,person,person	Mutane.
Under the cellphone.##cell phone	Ƙarƙashin wayar salula.
Where are the bricks?##bench,bird,bird,car,bus,bird,car,person,person,truck	A ina bulo ɗin suke?
How many people are there?##person,chair,cup,donut,dining table,chair,chair,donut,bed	Mutane nawa ne?
Clear.##person,skis	A bayyane.
Arriving.##car,car,car,person,car,car,car,person,car,car	Yana isowa.
Walking.##elephant,person,bicycle,person,person,person,person,person,backpack,person	Tafiya.
Player's outfit.##person,person,person,tennis racket,person,person,chair,person,person,person	Kayan ɗan wasan.
What kind of hat is that?##person,car,person,horse,bicycle,umbrella,person,person,person,umbrella	Wacce irin hula ce waccan?
Who is driving the train?##train,train,car	Waye yake tuƙa jirgin ƙasan?
What sort of terrain is the bike rider on?##motorcycle,person,person,backpack,motorcycle	A kan wacce irin ƙasa matuƙa babur ɗin suke?
How many men are in the picture?##person,surfboard	Nawane adadin maza a cikin hoton?
Zero.##pizza,carrot,carrot,carrot,carrot,carrot	babu. 
When is the cat under the blanket?##cat,bed,bed,teddy bear,umbrella	Yaushe magen take ƙarƙashin bargon?
"What is red, white and blue?"##train,person,person,person,person,person,person,train,person,person "Menene ja, fari da shuɗi?"	
Who gave birth to this kitten?##cat,keyboard,keyboard,keyboard,laptop,keyboard	Waya haifi 'yar mage?
Tiles.##person,person,tie,handbag,refrigerator,chair	Tayel.
At the camera.##zebra,zebra,zebra,zebra,zebra,cow,zebra	Kallon kamera.
Where was the picture taken?##umbrella,umbrella,person,umbrella,person,umbrella,person,person,person,person	A ina aka ɗauki hoton?
Late evening.##clock,clock	Da yammacin.
Daytime.##fire hydrant,car,fire hydrant,car,train,car	Da rana.
No one.##chair,suitcase,suitcase,bed,wine glass,backpack,tie,suitcase,suitcase,handbag	Ba kowa.
Around the food.##carrot,carrot,hot dog,carrot,sandwich	Kusa da abincin.
Where is the man surfing?##person,surfboard,person,surfboard	Ina mutumin yake hawan igiyar ruwa?
Who is in the photo?##person,cat,teddy bear,bed,tie,bed	Waye a cikin hoton?
The light is green.##traffic light,traffic light,car,car,car,car,car,car,car,car	Fitilar koriya ce.
White tent.##cow,person,person,person,person,person,person,person,backpack,backpack	Farin alfarwa.
What is in the sky?##train	Menene a sararin samaniya?
How is the base of the house colored?##person,umbrella,person,umbrella,person,train,handbag	Mane launi toshen gidan.
Beige with print on it.##bed,bed	Beige da akayi rubutu a jikin shi.
In a plaza.##person,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella	A palaza
Who is trimming the sheep?##person,sheep,sheep,dog	Waye yake wa tumakiya aski?
"Cucumber, avocado, carrots."##knife,carrot,carrot,bowl,apple,carrot,dining table,knife,carrot,carrot	"Kokwamba,abokado,karas"
Clear.##person,frisbee,person,person,person,person,person,person,person,person	Tas.
What color is the grass?##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra	Menene launin ciyawar?
A bat.##person,person,person,person,baseball bat,person,person,person,person,person	Bat.
How many people are shown?##surfboard,person	Mutane nawa ne suka fito?
White with black trim.##airplane,airplane,airplane	Fari da ratsin baƙi.
Two.##bed,wine glass,dog	Biyu.
What is the headboard made of?##bed,book,remote,backpack	Dame akayi saman gadon?
What color is the plate?##wine glass,cup,cup,chair,sandwich,broccoli,broccoli,person,broccoli,pizza	Mene launin farantin?
Where is the tree?##clock,clock	Ina bishiya?
Brown.##car,car,car,car,car,car,car,person,car,truck	Ruwan ƙasa.
Beneath the people.##bench,person,person,person,person,handbag,backpack	Ƙasan mutanan.
How many laptops on the table?##person,laptop,potted plant,bottle,couch,couch,laptop,remote,chair,mouse	Kwamfutar tafi da gidan ka guda nawa ce akan teburin?
Daytime.##airplane	Tsakar rana
Where is the banana?##cat,banana,banana,banana,banana	Ina Ayabar?
Where are the keys?##sink,cat,potted plant,cup,bottle,potted plant,potted plant,cup,sink,cup	Ina makullayen suke?
What color is the sky?##train,person,person,person,bench,chair,person	Menene launin sama?
What color is the grass?##elephant,zebra	Wani launi ce ciyawar?
Where is the plate?##spoon,fork,carrot,carrot,carrot,carrot,broccoli,carrot,carrot,broccoli	Ina farantin yake?
What city is this?##motorcycle,car	Wani birni ne wannan?
Park.##dog,car,car,car,person,traffic light	A filin wasa.
What is behind the building?##clock,oven	Mene a bayan ginin?
Along the wall on the left.##person,person,dining table,clock,keyboard,bottle,backpack,bottle,book,knife	Jikin bango wajan hagu
Where is the sink?##sink,toilet,toilet	Ina sink ɗin?
What color is the cross walk light?##traffic light,traffic light,car,car,car,car,car,car,car,car	Menene launin fitilan tsallakan?
Where was the picture taken?##frisbee,person	A ina aka ɗauki hoton?
Left.##giraffe,giraffe,zebra,zebra	Hagu.
What is the zebra looking at?##zebra,cow,bird	Me jakin dawa yake kalla?
Where are the windows?##elephant	Ina tagogin?
Concrete.##train,person,person,person,person,traffic light,person,person,person,person	Kankare.
How many girls are there?##person,person,bed,cell phone,cell phone	Yan mata nawa ne a nan?
A photographer.##bed	Me hoto.
Where are the red flags?##person,person,person,person,person,person,person,person,person,handbag	Ina jajayen tutocin?
A field.##frisbee,person,person,person,person,person,person,person,person,person	Fili.
What shade is the bus?##bus,person,bus,traffic light,bus,bicycle,bus,person,person,traffic light	Menene launin bas ɗin?
Cat.##scissors,cup,cup,cell phone,mouse,book,book,keyboard,tv,book	Mage.
What color is the grass?##horse,horse,backpack	Wace launi ce ciyawar
Where was this taken?##elephant,person,elephant,person,person,person,elephant,person,person,person	A ina aka ɗauka wannan?
How many mirrors are visible?##motorcycle,car	Madubi nawa ake gani?
What is photo of?##person,tennis racket,person,person,person	Hoton menene?
What sport is played at the court?##tennis racket,person,sports ball	Wani wasa akeyi a filin?
What meat is on the pizza?##pizza	Wani irin nama ne akan fiza ɗin?
Now.##fire hydrant,person,dog,teddy bear	Yanzu.
Background.##sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep	A kasan bayan hoton.
At a party.##person,bottle,person,wine glass,person,bottle,bottle,tie,bottle,tie	A wajan fati.
Baseball.##person,baseball glove,sports ball,person,baseball bat,person,person,person	Besbal.
How many lilies are there?##vase,vase,vase,bowl,bowl,chair,vase,vase,chair,potted plant	Furannin Lili nawa ne a wurin?
What is next to the computer?##laptop,mouse,potted plant,potted plant,chair,potted plant,cup,keyboard,book,vase	Menene a kusa da kwamfutar?
Standing next to a bike.##person,bicycle,baseball glove,airplane,remote	tsayuwa kusa da keken?
Beyond the skating ramp.##person,skateboard	Gaba da wajan sik
What colors are used in this photograph?##zebra,zebra,horse,person	Wanne launi akayi amfani dasu a jikin hoton?
Who is in the picture?##dog,bear,sports ball,frisbee,bear	Wanene acikin hoto?
When was this taken?##train,person,backpack,clock,person	Yaushe aka ɗauki wannan?
What is the number of beds?##bed,person,bed,bed	Menene adadin gadajen?
What is the man in the purple suit doing?##person,person,person,person,person,person,car,car,car,person	Me mutumin da yake sanye da purple kwat yakeyi?
What is the man riding?##motorcycle,person,person,person,dog,dog	Me mutumin ke tuƙa wa?
When was this taken?##train,train,person,person,car,car,train,truck,car,car	Da yaushe aka ɗauki hoton?
What color is the ground?##person,skis	ƙasan wana launi ne?
In the bowls.##apple,apple,bowl,apple,apple,dining table,apple,apple,apple,apple	A cikin kwanukan.
In the sky.##airplane,person,car,car,person,truck,cell phone,car,person,car	A sama.
Where is this pizza?##fork,pizza,pizza,dining table,pizza,sandwich	Ina wannan fiza?
How many plates are on the table?##person,hot dog,dining table,person	Nawane adadin farantai a kan tebur ɗin?
A person.##boat,boat,person,boat,person,traffic light,car,car	Mutum.
Round.##dining table,sandwich,bowl,sandwich,sandwich,apple	Zagaye.
Daytime.##person,airplane,person,person	Da rana.
When was this picture taken?##bus,bicycle,car,person,car,car,bicycle,bicycle	Da yaushe aka ɗauki wannan hoton?
How many players?##person,person,person,person,person,person,baseball glove,person,person,baseball bat	Yan wasa nawa ne?
On right.##tv,person,person,cup,cup,couch,couch,cup,book,chair	Gefen dama.
How many pipes are there?##	Nawane yawan bututu a gurin?
What is the woman doing with the right foot?##person,dog,horse	Me matar takeyi da ƙafar dama?
Coca cola.##person,person,person,bicycle,person,person,motorcycle,motorcycle,tv,motorcycle	Coca cola
Blue.##train,train,person,person,car,car,train,truck,car,car	shuɗi.
They are the sponsors.##person,person,person,tennis racket,tennis racket,person,chair,chair,chair,chair	Sune masu ɗaukan nauyi.
Red and long.##person,tie,couch,couch	Ja kuma me tsawo.
Where are the wipers?##person,car,bus,car,car,person,car,car,person,car	Ina goge-gogen suke?
The sun makes it bright.##bench,bench,person	Rana ce tasa yayi haske.
What is this photo of?##airplane,airplane	Hoton menene wannan?
What color is the person's wetsuit?##person,surfboard	Menene launin rigar ruwan mutumin?
What is in the background of the photo?##zebra	Mene a kasan bayan hoton?
What is on the man's back?##person,cell phone,person,cell phone,person,backpack	Menene a bayan mutumin?
Where are clouds?##person,person,person,suitcase,suitcase,person,traffic light,person,surfboard,person	Ina gajimare?
What is the main color of the eyes?##giraffe,giraffe,giraffe	Mene ainihin launin idanun sa .
Where is the laptop?##bed,laptop,cell phone,cell phone,book,handbag,book,suitcase,remote,book	Ina kwamfutar tafi-da-gidankan?
How many words are on the remote control?##chair,chair,keyboard,toilet,chair	Kalmomi nawane a jikin masarrafin tazara?
How many people are there?##person,skis	Mutane ne nawa a nan?
